artist and title,wks,t10,pk,x?,PkStreams,total,artist name,song name,lyrics
Bad Bunny - Party,33,3,6,,34175557,479414025,Bad Bunny,Party,"Yeh, dice Ra-Rauw Ella lleva un tiempo soliá Pero en las redes no sube nada, ah-ah Me pone a maquinear-a-ar Hoy quiere fluir, cansada de pensar, ay Enrola y va a quema-a-ar (ey) Hoy se quiere soltar, no quiere amarrarse, solo quiere Party, party, party, party Party, party, party, party Party, party, party, party Party, party, party, pa-pa-pa-pa- Party, party, party, party Party, party, party, party Party, party, party, party (yeh-yeh-yeh-yeh) Party, party, party, party (ey) Se miró al espejo y vio que está buenota, vio que está buenota Y quiere perreo y coger una nota Yo te azoto esa nalgota Cuando tú quiera' puesto pa tu' bellaquera' Y perreártela la noche entera Solo abren la cartera, nos fuimos sin que nadie viera Baby, qué afrenta, tú quieres con dos y no sé si va' a aguantar Tanto asiento que hay y encima de mi bicho es que te quieres sentar Te tengo el toto sentimental Uh, el panty mojado, la nota en alta, no me ha bajado Dice que está soltera y todavía no se ha dejado Y que se atreve con Benito y con Rauw, je Tú me gustas par, me gustas par Salimos de Threehouse, nos fuimos pa Ocean Park Corriendo Can-Am, bebiendo champán Mañana te compro un Taycan Ey, ey, tú te mueves rico como las de E11EVEN Sabe que está rica y se da guille porque puede Yo estoy puesto, tú estás puesta, y, ¿quién se atreve? Dime quién se atreve, que en el hotel va a ser el after Party, party, party, party Party, party, party, party Party, party, party, party Party, party, party, pa-pa-pa-pa- Party, party, party, party Party, party, party, party Party, party, party, party Party, party, party, party (Ra-Rauw) Un bellaqueo bien nasty El culo real, pero las tetas son plastic Tiene un abdomen, parece que hace fasting Pero cuando come, se lo traga, no lo mastic, ey Ahora es full-time, 40 horas de sateo Guiliando los four track, le gusta el maleanteo Lo dejó atrás, a su ex le bajó el dedo Ella pide el zorro y el conejo en un perreo Dime si tú quieres dulce De fugao' nos perdimos en Santurce En la disco que apaguen las luces Que esas nalgas son pa que las use De ti yo me dejo que abuses Tú me tienes en un bucle Antes de que entre, lo escupe (mami) La puse a brincar y en la cama hicimos un Party, party, party, party Party, party, party, party Party, party, party, party Party, party, party, pa-pa-pa-pa- Party, party, party, party Party, party, party, party Party, party, party, party Party, party, party ¡Ja, ja, ja, ja, ja, ja! Uy, disfrutando la noche y muchas cosas bellas Todos son santos cuando hablan de los pecados ajenos ¡Uy, ja, ja, ja, ja, ja! Ay, ay, la vida ¿Quién entiende estas cosas? ¿Quién la entiende? ¡Uy, ja, ja, ja, ja, ja!"
ROSALÍA - BESO,28,5,5,,33370230,478330446,ROSALÍA,BESO,"Ya yo necesito otro beso Uno de esos que tú me da' Estar lejos de ti e' el Infierno Tar cerca de ti es mi paz Y es que amo siempre que llegas y odio cuando te vas Yo me voy contigo a matar No me dejes sola ¿Pa dónde vas, a dónde vas? Aa-ah-ah, na-na-ah Ven pa'acá Ah-ah-ah, na-na-na ¿A dónde vas? (yeh) Oh-oh Si me baila, me lo da to Oh-oh Ya estamo' solo' y se quita to Mis sentimiento no caben en esta pluma Ey ¿cómo decirte? Tú еre' la exponentе infinita, la equi', la suma Te queda pequeña la luna Y aunque esté lejo', tú ere' la persona más cerca de mí Si mi cell se va a apagar, solo te aviso a ti Si ante' hubo otra vida, de tu' agua' bebí Conocerte debí Lo mejor que tengo Es el amor que me das Huele a tabaco y melón Y a domingo en la ciudad Y si tú me esperas El tiempo puedo doblar El cielo puedo amarrar Y dártelo entero Yo quiero que me de' otro beso Uno de esos que tú me da' Estar lejos de ti e' el Infierno Tar cerca de ti e' mi paz Y es que amo siempre que llegas y odio cuando te vas Yo me voy contigo a matar No me dejes solo ¿Pa dónde vas, pa dónde vas? Fuma' como si Te, fueran a echar por fumar Y baila como sé Que, se movería un Dios al bailar Y besas como que Siempre hubieras sabido besar Y nadie a ti A ti te tuvo que enseñar Lo mejor que tengo Es el amor que me das Huele a tabaco y melón Y a domingo en la ciudad Y si tú me espera' (eh) El tiempo puedo doblar El cielo puedo amarrar Y dártelo entero Ya yo necesito otro beso Uno de esos que tú me da' Estar lejos de ti e' el Infierno 'Tar cerca de ti e' mi paz Y es que amo siempre que llegas y odio cuando te vas Yo me voy contigo a matar No me dejes solo ¿Pa dónde vas, pa dónde vas? Ah-ah-ah, ah-ah-ah-ah Ah-ah-ah, ah-ah-ah Na-ah-ah, na-na-ah-na Na-ah-ah, na-na-ah-na"
Offset - Ric Flair Drip,68,,32,,10965630,477264595,Offset,Ric Flair Drip,"(Bijan 4 The 1 Time) Metro Boomin want some more, nigga! (Hey) Going to the jeweler, bust the AP, yeah (Bust it) Slide on the water like a jet-ski, yeah (Woo, slide) I'm tryna fuck you and your bestie, yeah (Hey) Chopper with the scope so do not test me, (Drrt) yeah (Drrt) Ric Flair drip, go ""woo"" on a bitch (Woo) 57 90, split the coupe on my wrist (Ice) Multi-million dollar, I'm a fool with the hits (Ayy) Hop up in the Lamb' and drop the roof, show the tits (Skrrt) Poppin' but you really not gon' shoot (Pop) 90 pointers down my diamonds look like hula hoops (90) Hopping in my Bentayga and her seat is a masseuse (Hey) Balenciaga, check my posture, Valentino boots (Oho-ooh) It's the Boominati way, a lotta Lambs, a lotta Wraiths (Boominati) Never hesitate to give a nigga yellow tape (Grrt) Ain't worried 'bout the bag 'cause the cash accumulatin' (Bags) Soon as we came in the game, all these niggas they imitate it (Hey) Put my mind on it then I put my grind on it (Grind) Put the iron on him if a nigga my opponent (Iron) My car 500 and I don't put no miles on it (Ho) I was runnin' 'round homie, with 500 thou' on me (Ho) Going to the jeweler, bust the AP, yeah (Bust it) Slide on the water like a jet-ski, yeah (Woo, slide) I'm tryna fuck you and your bestie, yeah (Hey) Chopper with the scope so do not test me, (Drrt) yeah (Drrt) Ric Flair drip, go ""woo"" on a bitch (Woo) 57 90, split the coupe on my wrist (Ice) Multi-million dollar, I'm a fool with the hits (Ayy) Hop up in the Lamb' and drop the roof, show the tits (Offset) Told my fam, got the gang with me (Gang with me) Bought my first Patek, it got some rain on it (Patek) Nigga, we used to kick it, how you hatin' on me? (How? How?) Hop in the Bentley coupe and blow the brains out it (Skrrt!) We not the same, my nigga My nigga, we from the north division (North, nawf) Aim at your brain, yea we bought ya just like it's an auction, ain't it (Hey) Beat the chopper, hundred round total, like it's car collision (Brrt-brrt) I made that shit mandatory, that means I had to get it (Hey) My shooter be begging ""please"", he ready to wack a nigga (Please, please) I gave a nigga a diamond, I had to cap a nigga (Woo) I'm giving your ho away like she a raffle, nigga (Here, here) We get at it, then we 'gone pray with the pastor's scriptures (Hey) Going to the jeweler, bust the AP, yeah (Bust it) Slide on the water like a jet-ski, yeah (Woo, slide) I'm tryna fuck you and your bestie, yeah (Hey) Chopper with the scope so do not test me, (Drrt) yeah (Drrt) Ric Flair drip, go ""woo"" on a bitch (Woo) 57 90, split the coupe on my wrist (Ice) Multi-million dollar, I'm a fool with the hits (Ayy) Hop up in the Lamb' and drop the roof, show the tits (Skrrt) Going to the jeweler, bust the AP, yeah (Bust it) Slide on the water like a jet-ski, yeah (Woo, slide) I'm tryna fuck you and your bestie, yeah (Hey) Chopper with the scope so do not test me, (Drrt) yeah (Drrt) Ric Flair drip, go ""woo"" on a bitch (Woo) 57 90, split the coupe on my wrist (Ice) Multi-million dollar, I'm a fool with the hits (Ayy) Hop up in the Lamb' and drop the roof, show the tits (Skrrt)"
Ed Sheeran - Happier,91,1,10,,23545568,476467704,Ed Sheeran,Happier,"Walking down 29th and park I saw you in another's arms Only a month we've been apart You look happier Saw you walk inside a bar He said something to make you laugh I saw that both your smiles were twice as wide as ours Yeah, you look happier, you do Ain't nobody hurt you like I hurt you But ain't nobody love you like I do Promise that I will not take it personal, baby If you're moving on with someone new 'Cause baby you look happier, you do My friends told me one day I'll feel it too And until then I'll smile to hide the truth But I know I was happier with you Sat on the corner of the room Everything's reminding me of you Nursing an empty bottle and telling myself you're happier Aren't you? Ain't nobody hurt you like I hurt you But ain't nobody need you like I do I know that there's others that deserve you But my darling, I am still in love with you But I guess you look happier, you do My friends told me one day I'll feel it too I could try to smile to hide the truth But I know I was happier with you Baby, you look happier, you do I knew one day you'd fall for someone new But if he breaks your heart like lovers do Just know that I'll be waiting here for you"
Drake - Fake Love,48,10,7,,18569220,476434708,Drake,Fake Love,"Yeah, yeah I've been down so long it look like up to me They look up to me I got fake people showin' fake love to me Straight up to my face Straight up to my face I've been down so long it look like up to me They look up to me I got fake people showin' fake love to me Straight up to my face Straight up to my face Somethin' ain't right when we talkin' Somethin' ain't right when we talkin' Look like you hidin' your problems Really you never was all in No you can't son me, you won't never get to run me Just when shit look out of reach, I reach back like one, three Like one, three, yeah That's when they smile in my face Whole time they wanna take my place Whole time they wanna take my place Whole time they wanna take my place Yeah, I know they wanna take my place I can tell that love is fake I don't trust a word you say How you wanna clique up after your mistakes? Look you in the face and it's just not the same I've been down so long it look like up to me They look up to me I got fake people showin' fake love to me Straight up to my face Straight up to my face I've been down so long it look like up to me They look up to me I got fake people showin' fake love to me Straight up to my face Straight up to my face Yeah, straight up to my face, tryna play it safe Vibe switch like night and day, I can see it like right away I came up, you changed up, I caught that whole play Since then, things never been the same That's when they smile in my face Whole time they wanna take my place Whole time they wanna take my place Whole time they wanna take my place Yeah, I know they wanna take my place I can tell that love is fake (I can tell that love is fake) I don't trust a word you say (I don't trust a word...) How you wanna clique up after your mistakes? (That's just what I heard) Look you in the face and it's just not the same I've been down so long it look like up to me They look up to me I got fake people showin' fake love to me Straight up to my face Straight up to my face I've been down so long it look like up to me They look up to me I got fake people showin' fake love to me Straight up to my face Straight up to my face Skrrt"
Passenger - Let Her Go,177,,13,,4815894,475972877,Passenger,Let Her Go,"Well, you only need the light when it's burning low Only miss the sun when it starts to snow Only know you love her when you let her go Only know you've been high when you're feeling low Only hate the road when you're missing home Only know you love her when you let her go And you let her go Staring at the bottom of your glass Hoping one day you'll make a dream last But dreams come slow, and they go so fast You see her when you close your eyes Maybe one day, you'll understand why Everything you touch surely dies But you only need the light when it's burning low Only miss the sun when it starts to snow Only know you love her when you let her go Only know you've been high when you're feeling low Only hate the road when you're missing home Only know you love her when you let her go Staring at the ceiling in the dark Same old empty feeling in your heart 'Cause love comes slow, and it goes so fast Well, you see her when you fall asleep But never to touch and never to keep 'Cause you loved her too much, and you dived too deep Well, you only need the light when it's burning low Only miss the sun when it starts to snow Only know you love her when you let her go Only know you've been high when you're feeling low Only hate the road when you're missing home Only know you love her when you let her go And you let her go Oh, oh, mm, oh And you let her go Oh, oh, uh, uh Well, you let her go 'Cause you only need the light when it's burning low Only miss the sun when it starts to snow Only know you love her when you let her go Only know you've been high when you're feeling low Only hate the road when you're missing home Only know you love her when you let her go 'Cause you only need the light when it's burning low Only miss the sun when it starts to snow Only know you love her when you let her go Only know you've been high when you're feeling low Only hate the road when you're missing home Only know you love her when you let her go And you let her go"
J Balvin - Qué Más Pues?,36,1,9,,26352868,475638530,J Balvin,Qué Más Pues?,"¿Qué má', pues? ¿Cómo te ha ido? J Balvin, man ¿Qué más, pues?, ¿cómo te ha ido? ¿Sigue' soltera o ya tiene' marido? Sé que es personal, perdona lo atrevido Te pedí en Navida' y Santa no te ha traído Pero, ¿qué más, pues?, ¿qué ha habido? Te perdí el rastro por distraído La fama esta me tiene jodido Pero no me olvido de lo sucedido Regálame otra noche, quiero verte Que hay que aclarar par de cosas pendiente' Ma', ¿qué lo que e'?, ¿dónde estás? Dime, a ver que yo voy, voy Lady, lady, me perdiste de la vista Ahora con otro e' con quien vacilo en la pista, ey Ay, José, no me insista' Das mucha' vuelta', parece' motociclista (ey) Ninguna con este porte Tengo este booty sin hacer deporte (no, no, no) Nada va a hacer que me importe' Porque mi brújula ya cambió su norte (wooh) Cambió desde que te fuiste tú Papi, eso lo sabe' muy bien No me venga' con esa actitud Que esa la conozco, yo, también Yo ahora no ando soltera para ti, no, ey Yo soltera para ti, no Se acabó lo que esa noche nos dimo', ey Lo que esa noche nos dimo' (oh) Pa, ¿qué lo que e'?, sé que quieres saber Dónde estoy, oh-oh, oh-oh-oy Dime, mai, ¿qué e' la que hay? Esa' Nike te quedan nice (uoh) De tu clase, ya pocas hay Ninguna cabe en tu size Se acaba un rato Que estás sola, ya me dieron el dato Dame el PIN, yo te caigo de inmediato Ellos intentan y yo ni trato Baby, esto ya es otra liga, pero tú estás por encima, ey Vamo' a hacerlo, aprovecha el clima (J Balvin) Tú estás bien diva y ese cuerpo que motiva, baby Vamos a hacerlo que está rico el clima ¿Qué más, pues?, ¿cómo te ha ido? Tú sigues siendo el mismo engreído No es personal, pa novio no has nacido Me tuviste mucho tiempo, fuiste distraído Y ahora, ¿qué más, pues?, me he ido Ya es suficiente lo que tú ha' comido Aunque no parezca, esto me ha dolido Y de lo pasado, yo, no me olvido Regálame otra noche, quiero verte Que hay que aclarar par de cosas pendiente' Ma', ¿qué lo que e'?, ¿dónde estás? Dime, a ver que yo voy, voy Regálame otra noche, quiero verte Que hay que aclarar par de cosas pendiente' Ma, ¿qué lo que e'?, ¿dónde estás? Dime, a ver que yo vo-o-o-oy, vo-o-o-oy Yo a ti te llamé en agosto, apareciste en enero Tú de vacacione' en Boston y otro apareció primero Y me está' empalagando y eso que no e' golosina Tú mucho me está' mirando y eso que no soy vitrina"
J Balvin - UN DIA (ONE DAY) (Feat. Tainy),49,2,10,,18329866,475454649,J Balvin,UN DIA,"You know sometimes I think about us now and then But I never wanna fall again, ah-ah-ah Yo no te quisiera olvidar Pero contigo es todo o na' Yeah, yeah You're deep in the water, yeah, you're drownin' us You question my love like it's not enough But I hate that you know, you know, you know You got me tied up You regret it now, but it's your mistake What makes you think that my mind will change? And you hate that you know, you know, you know You know you're messed up One day you'll love me again One day you'll love me for sure One day you'll wake up feelin' how I've been feelin' Baby, you'll knock at my door One day you'll love me again Hug me again 'til the end One day you'll beg me to try One day you'll realize I'm more than your lover I'm more than your lover, I'm your friend Acércate un poquito nomá' Que yo quiero que te quedes conmigo Deja a tus amiga' allá atrás Que nos vamos en un viaje escondido' No' vamo' pa' Turks and Caicos Y ahí calmamo' las ganas Suéltate conmigo, mama Que ya no hay marcha atrás Una noche sin ti No es tan fácil, baby Que yo soy pa' ti Y tú eres pa' mí Nunca me dejes de querer, oh, na-na-na Contigo por siempre, babe No quiero dejarte esta vez One day you'll love me again One day you'll love me for sure One day you'll wake up feelin' how I've been feelin' Baby, you'll knock at my door One day you'll love me again Hug me again 'til the end One day you'll beg me to try One day you'll realize I'm more than your lover (yeah, yeah) I'm more than your lover, I'm your friend (yeah) Yo sé que estoy en tu corazón, quizá en el fondo Otra baby me escribe, nunca le respondo (no) La vida da vuelta' y el mundo e' redondo Y yo voy a que te beso de nuevo en London O si no en Marbella Encima de la arena viendo las estrella' Yo sé que ni la' ola' han borra'o mi huella Pero tu pichaera e' lo que me atropella Sol, playa y en la arena, vamo' allá (¡wuh!) Baby, no te quede' calla'a Yo sé que tú quiere' guayar conmigo Otra vez me tienes en depresión Fumando en la habitación, eh Pero yo sé que One day you'll love me again (¡wuh!) One day you'll love me for sure One day you'll wake up feelin' how I've been feelin' Baby, you'll knock at my door One day you'll love me again Hug me again 'til the end One day you'll beg me to try One day you'll realize I'm more than your lover I'm more than your lover, I'm your friend (babe) Ay-ay-ay-ay-ay-eh One day you'll love me again One day you'll realize I'm more than your lover I'm more than your lover, I'm your friend J Balvin man Bad Bunny, babe Tainy Latino Gang La Familia"
Kodak Black - ZEZE,39,8,3,(x1),29095302,475296500,Kodak Black,ZEZE,"D.A. got that dope! Ice water, turned Atlantic (Freeze) Nightcrawlin' in a Phantom (Skrrt, skrrt) Told them, ""hold it, don't you panic"" Took an island, (Yeah) flood the mansion (Big water) Dropped the roof, more expansion Drive a coupe you can stand in (It's lit) She loves bitches undercover (In the sheets) I'm an ass and titties lover (Big ass) Guess we all made for each other Now that all the dawgs free (Yeah, yeah) And we out in these streets (Alright) Can you do it, can you pop it for me? Pull up in a Demon, on God (On God) Lookin' like I still do fraud (Fraud) Flyin' private jet with the rod (Rod) This that Z shit, this that Z shit (This that Z shit) Pull up in a Demon, on God (On God) Lookin' like I still do fraud (Fraud) Flyin' private jet with the rod (Rod) This that Z shit, this that Z shit (This that Z shit) Offset! Blow the brains out the coupe (Boo) Police wanna talk, but I'm on mute (Woo-woo, hey) I'ma bust her wrist down 'cause she cute (Ice) Fuck her on a yacht, dive in a pool (Yeah) She an addict (Addict), addict for the lifestyle and the Patek (Patek) Big daddy, have you ever felt Chanel fabrics? (Chanel) I be drippin' to death, I need a casket (Drippin') And we got more stripes than the ref, he foul, TEC him (Bow, stripes) In the middle of the field like David Beckham (Field, bow-bow) All my niggas locked up, for real, I'm tryna help 'em (Free, free) When I got a mil', got me the chills, Don't know what happened (Hoo, chills) Pop pills, do what you feel, I'm on that zombie (Hey, hoo) I'm more like Gaddafi, I'm not no Gandhi (Gaddafi, hey) I'm more like I'm David, Goliath runnin' (Hey, hey) Niggas be clonin', I find it funny (Clone, haha) We from the Nawf, straight out of the dungeon (We from the Nawf, hey) I go in her mouth, she can't tell me nothin' (Eghck, eghck, egchk) 300, the watch is out of your budget (Woo, woo, 300) Mean-muggin' got me clutchin' Yeah, and this stick right out of Russia Ice water, turned Atlantic (Freeze) Nightcrawlin' in a Phantom (Skrrt, skrrt) Told them, ""hold it, don't you panic"" Took an island, (Yeah) flood the mansion (Big water) Dropped the roof, more expansion Drive a coupe you can stand in (It's lit) Bitches undercover (In the sheets) I'm an ass and titties lover (Big ass) Guess we all made for each other Now that all the dawgs free (Yeah, yeah) And we out in these streets (Alright) Can you do it, can you pop it for me? Pull up in a Demon, on God (On God) Lookin' like I still do fraud (Fraud) Flyin' private jet with the rod (Rod) This that Z shit, this that Z shit (This that Z shit) Pull up in a Demon, on God (On God) Lookin' like I still do fraud (Fraud) Flyin' private jet with the rod (Rod) This that Z shit, this that Z shit (This that Z shit) In a Hellcat 'cause I'm a hell-raiser Self-made, I don't owe a nigga nann favor When you get that money, nigga, keep your heart I'm slidin' in a coupe, ain't got no key to start I got the fire on me in BET Awards When your well run dry, you know you need me for it When I pull up in the Buick, you know what I'm doin' If the police get behind me, I'm fleein' and eludin' Sleepin' on the palette turned me to a savage I'm a project baby, now I stay in Calabasas Like I still serve fiends, like I'm still jackin' I be sippin' on lean, tryna keep balance Hit that Z-Walk, Dickie's with my Reeboks I don't say much, I just let the heat talk Your jewelry water whip, diamonds like re-rock My lil' baby ride the dick like a seesaw When I stepped up on the scene, I was on a bean When I jumped up out the Beam', I was in Celine Baby girl you just a fling, that ain't what I mean Money bustin' out my jeans like I do the scheme Pull up in a Demon, on God (On God) Lookin' like I still do fraud (Fraud) Flyin' private jet with the rod (Rod) This that Z shit, this that Z shit (This that Z shit) Pull up in a Demon, on God (On God) Lookin' like I still do fraud (Fraud) Flyin' private jet with the rod (Rod) This that Z shit, this that Z shit (This that Z shit) Uh-huh, ha, oh-ah-oh Uh-huh, ha, oh-ah-oh Uh-huh, ha, oh-ah-oh Uh-huh, ha"
Nicky Youre - Sunroof,48,,28,,14232510,473537915,Nicky Youre,Sunroof,"La da, la da da, la la la La da, la da di da da, la la la la la La da, la da da, la la la La da, la da di da I got my head out the sunroof I'm blasting our favorite tunes I only got one thing on my mind You got me stuck on the thought of you You're making me feel brand new You're more than a sunshine in my eyes You got those pretty eyes in your head, you know it You got me dancing in my bed, so let me show it You are exactly what I want, kinda cool and kinda not Wanna give myself to you Yeah, we're driving down the freeway at night I only got one thing in the back of my mind (You got me stuck on the thought of you) I'm feeling like this might be my time to shine With you, with you, with you I got my head out the sunroof I'm blasting our favorite tunes I only got one thing on my mind You got me stuck on the thought of you You're making me feel brand new You're more than a sunshine in my eyes I got my head out the sunroof Oh-woah, oh-woah, ooh You got me stuck on the thought of you Oh-woah, oh-woah, ooh Yeah, we're driving down the freeway at night I only got one thing in the back of my mind (You got me stuck on the thought of you) I'm feeling like this might be my time to shine With you, with you, with you I got my head out the sunroof I'm blasting our favorite tunes I only got one thing on my mind You got me stuck on the thought of you You're making me feel brand new You're more than a sunshine in my eyes La da, la da, da, la la la La da, la da di da da, la la la la la La da, la da da, la la la La da, la da di da da da da La da, la da da, la la la La da, la da di da da, la la la la la La da, la da da, la la la La da, la da di da da da da"
Tito Double P - DOS DÍAS,35,,31,,17782086,472176844,Tito Double P,DOS DÍAS,"Un, dos, tres Un, dos, tres Unos tragos pa' la panza Ese periquito, la neta, nomás no se baja Ando atravesado porque no me dices qué pasa Dos días enojada, dos días que no me habla' Otra de tus payasadas Yo aquí con los panas y tú siempre de exagerada Cuando dices ""te quiero"", mija, nomás no te creo nada Todo lo que planeaba se nos fue a la chingada Mira en qué me convertí Me encantan las pacas, me mama el dinero Baby, yo te lo advertí Que estando solito yo era un cagadero No fui yo, sino por ti Quе me hice adicto a andar en еsta loquera Guacha lo que conseguí Un chingo de culos y ni uno me llena Ay, mamá Tito Double P, ah Así suena la puta Doble P, compa Tito Ay-ay-ay Chau El polvo ya ni me pasa Me contestas a medias, mi niña, ya dime qué tranza Me acordé de las noches que chingamos allá en tu sala Pues pasé por tu casa y saludé a tu mamá Mira en qué me convertí Me encantan las pacas, me mama el dinero Baby, yo te lo advertí Que estando solito yo era un cagadero No fui yo, sino por ti Que me hice adicto a andar en esta loquera Guacha lo que conseguí Un chingo de culos y ni uno me llena"
Bad Bunny - Tarot,34,1,9,,31952895,470238500,Bad Bunny,Tarot,"Verte en el VIP de lejito e'un privilegio Baby, tú ere' un mito, ese culito e'un misterio Tú loquita porque te cojan y yo que me coja' en serio Y a Dios le vo'a pedir que te lo explique Que tú estás muy dura, tú tienes el pique No te sorprenden to' estos bobo' con ticket Tú lo quе quiere' es quе te chi- Ojalá y tenga suerte Porque no cualquiera puede llegarte Pero yo voy a mí, pa que hoy tú me la suelte Tienes la disco de museo, ma, tú ere' arte Y yo pagué, pa verte Y va a gustarte To lo que quiero hacerte, eh Hoy tengo que hablarte Tienes la disco de museo, ma, tú ere' arte Ojalá y tenga suerte Eh-eh, ey Si subiste una story es pa que te lo comenten Si te mandé un fueguito es que me tiene' caliente Tú estás dura de espalda y más rica de frente, eh-eh Mami, yo le llego al oeste, je Si es pa darte este, ey Baby, yo quiero darte la' buena' noche pa que te acueste' Y si se da al fin, nos vamo' de aquí Ojalá diga' que sí y vamo' a darle Que anda bonita y suelta, bonita y suelta Se dejó del gato y tiene cinco de repuesto Yo quiero saber con qué panticito te acuesta' Baby, dime si tú tas puesta Ojalá y tenga suerte Porque no cualquiera puede llegarte Pero yo voy a mí, pa que hoy tú me la suelte' Tienes la disco de museo, ma, tú ere' arte Yo pagué pa verte Y va a gustarte To lo que quiero hacerte, eh Hoy tengo que hablarte Tienes la disco de museo, ma, tú ere' arte Ojalá y tenga suerte Pa ganarte Y por más que me ignora, está imposible ignorarte El sol al lao tuyo no es tan brillante Yo soy Da Vinci y tú mi obra de arte Tú ere' arte Porque tu flow, Dios lo bendiga Llega y toas las babie' te ligan Abdominale' y sin hacerte la barriga Tu ex todavía te hostiga Porque tú tas cotizá Toas las marca actualizá Baby, si fuera cristiano, hoy te fueras bautizá Quítate to, que ya te la quiero ver Que tú tas trending sin tenerte que joder Vente conmigo, nos podemo' beber A ti te va a correr Ojalá y tenga suerte Porque no cualquiera puede llegarte Pero yo voy a mí pa que hoy tú me la suelte' Tienes la disco de museo, ma, tú ere' arte Y yo pagué pa verte Y va a gustarte To lo que quiero hacerte, eh"
Bazzi - Mine,48,6,3,(x1),23681960,468993923,Bazzi,Mine,"Huh, yeah, you know I just I had a little bit too much of Hennessy Jus' gonna tell you how I feel (Look) You so fucking precious when you smile (Heh, yeah) Hit it from the back and drive you wild, oh yeah Girl, I lose myself up in those eye-eye-eye-eye-eyes I just had to let you know you're mine Hands on your body I don't wanna waste no time (Time) Feels like forever even if forever's tonight Just lay with me, waste this night away with me You're mine (Mine), I can't look away, I just gotta say I'm so fucking happy you're alive (Heh, yeah) Swear to God, I'm down If you're down all you gotta say is right, yeah-yeah Girl, anything I can do just to make you feel alright Oh, oh, oh, oh, I just had to let you know you're fine Running circles 'round my mind Even when it's rainy all you ever do is shine You on fire, you a star just like Mariah Man this feel incredible I'll turn you into a bride, you're mine Hands on your body, I don't wanna waste no time Feels like forever even if forever's tonight Just lay with me, waste this night away with me You're mine, I can't look away, I just gotta say"
Cigarettes After Sex - Cry,51,,69,,11966338,468959204,Cigarettes After Sex,Cry,"It's making you cry every time you give your love to me this way Saying you'd wait for me to stay, I know it hurts you But I need to tell you something My heart just can't be faithful for long I swear I'll only make you cry Maybe I'd change for you someday, but I can't help the way I feel Wish I was good, wish that I could give you my love now... But I need to tell you something My heart just can't be faithful for long I swear I'll only make you cry I need to tell you something My heart just can't be faithful for long I swear I'll only make you cry"
Tory Lanez - The Color Violet,54,,70,,10826089,468625747,Tory Lanez,The Color Violet,"I took my drugs and took my lovin' when I left out the spot I left the party with a barbie marking X on the dot (uh) She calls my phone up, but I told her, ""I'm a loner"" (uh) But she likes my watch and my droptop and my persona (uh) We hit the highway, 1-5-5, with my whole foot on the dash She's in my ear, she's got no fear, she could care less if we crash But on my radar, I've got some nerve to play hard I've waited for my chance, but playboys we don't dance, dance, dance I gave my heart Speedin' car goin' 90 in the rain She took my heart, filled it with nothin' but pain This beat in my dance is not for romance I wanna stay but, playboys, we don't dance, dance, dance So I won't dance again, oh, baby No, I won't dance again, ooh, yeah (uh) No, I won't dance again No, I won't dance again Pretty baby, ooh Oh, face in the daylight, wastin' time on the stars in the sky She's got my pager, play games of love all on my eyes Then I'm reminded, love don't come 'til you find it I just hope that it's workin', I'm yearnin', I'm searchin', uh The afterparty was on Wilson and 73rd You got the notion that somebody else was with me first But on my radar, you had some nerve to play hard You took away my chance, but playboys we don't dance, dance, dance I gave my heart Speedin' car goin' 90 in the rain She took my heart, filled it with nothin' but pain This beat in my dance is not for romance I wanna stay but, playboys, we don't dance, dance, dance So I won't dance again, oh, baby No, I won't dance again, ooh, yeah (uh) No, I won't dance again No, I won't dance again Pretty baby, ooh"
Ariana Grande - Into You,59,,14,,15071769,467260073,Ariana Grande,Into You,"I'm so into you I can barely breathe And all I wanna do Is to fall in deep But close ain't close enough 'Til we cross the line, hey, yeah So name a game to play And I'll roll the dice, hey Oh, baby, look what you started The temperature's rising in here Is this gonna happen? Been waiting and waiting for you to make a move (ooh, ooh) Before I make a move (ooh, ooh) So, baby, come light me up And maybe I'll let you on it A little bit dangerous But, baby, that's how I want it A little less conversation and a little more touch my body 'Cause I'm so into you, into you, into you Got everyone watchin' us So, baby, let's keep it secret A little bit scandalous But, baby, don't let them see it A little less conversation and a little more touch my body 'Cause I'm so into you, into you, into you Ooh, yeah This could take some time, hey I made too many mistakes Better get this right, right, baby Oh, baby, look what you started The temperature's rising in here Is this gonna happen? Been waiting and waiting for you to make a move (ooh, ooh) Before I make a move (ooh, ooh) So, baby, come light me up And maybe I'll let you on it A little bit dangerous But, baby, that's how I want it A little less conversation and a little more touch my body 'Cause I'm so into you, into you, into you Got everyone watchin' us So, baby, let's keep it secret A little bit scandalous But, baby, don't let them see it A little less conversation and a little more touch my body 'Cause I'm so into you, into you, into you ('cause I'm so into you) Tell me what you came here for 'Cause I can't, I can't wait no more I'm on the edge with no control And I need, I need you to know You to know, oh, yeah So, baby, come light me up (light me up) And maybe I'll let you on it A little bit dangerous (dangerous) But, baby, that's how I want it (how I want it) A little less conversation and a little more touch my body 'Cause I'm so into you, into you, into you Got everyone watchin' us (watchin' us) So, baby, let's keep it secret A little bit scandalous (scandalous) But, baby, don't let them see it A little less conversation and a little more touch my body 'Cause I'm so into you, into you, into you So come light me up So come light me up, my baby Little dangerous A little dangerous, my baby A little less conversation and a little more touch my body 'Cause I'm so into you, into you, into you"
